ECPG, 1.5, 34.55
ECHO, 1.4, 19.11
DY, 1.5, 55.63
DXCM, 1.4, 152.5
DRNA, 1, 14.3
DIS, 1.2, 143.56
DHR, 1.1, 142.71
DG, 1.4, 140.36
DBX, 1.5, 25.96
CYBR, 1.5, 131.65
CXO, 1.1, 102.7
CVX, 1.4, 125.43
CVA, 1.5, 17.79
CTMX, 1, 11.79
CTLT, 1.4, 54.26
CSCO, 1.5, 57.3
CRM, 1.1, 158.9
CPE, 1.4, 6.53
CP, 1.4, 237.67
COO, 1.4, 334.05
CONE, 1.3, 58.95
COLL, 1.1, 11.43
CNC, 1, 53.22
CLVS, 1.5, 13.24
CLR, 1.4, 40.99
CLLS, 1.5, 16.39
CLF, 1.4, 10.24
CI, 1.3, 175.34
CHFC, 1.4, 41.44
CFG, 1.4, 35.56
CBAY, 1.3, 6.81
CARG, 1.5, 37.46
CARA, 1.3, 22.71
C, 1.1, 71.61
BX, 1.3, 46.07
BV, 1.1, 17.67
BTG, 1.2, 3.08
BTE, 1.4, 1.44
BSX, 1.1, 43.2
BOOT, 1.3, 35.1
BOLD, 1.5, 34.3
BMRN, 1.4, 82.72
BLK, 1.4, 480.07
BLD, 1.5, 82.25
BKI, 1.2, 61.89
BJ, 1.4, 23.59
BHVN, 1.4, 43.09
BHGE, 1.3, 25.24
BC, 1.4, 44.64
BABA, 1.2, 166.55
AVRO, 1.3, 14.48
AVGO, 1.5, 276.06
ATUS, 1.4, 25.43
ATRC, 1.1, 32.14
ASND, 1, 112.34
ASGN, 1.4, 58.3
ASH, 1.3, 76.41
ARRY, 1, 46.82
ARGX, 1.1, 138.79
ARCC, 1.5, 18.15
APD, 1.4, 227.76
ANTM, 1.1, 303.88
ANAB, 1, 54.11
AMZN, 1.1, 2001.07
AMTD, 1.5, 50.7
AME, 1.1, 89.59
ALLY, 1.5, 31.68
ALGN, 1.3, 282.59
AL, 1.3, 41.53
AERI, 1.3, 25.05
ADC, 1.4, 65.57
ACN, 1.4, 194.67
ABT, 1.4, 85.77
ABMD, 1.1, 266.09
ABEO, 1, 4.34
AAN, 1.3, 61.96
A, 1.1, 71.74
