VNET
TWOU
DDD
WUBA
ACIW
ATVI
ADBE
ALRM
ALYA
GOOG
GOOGL
ALTR
AYX
AMSWA
PLAN
ANSS
APPF
APPN
TEAM
AEYE
JG
ADSK
AUTO
AVLR
AVID
AWRE
BIDU
BAND
BNFT
BKI
BLKB
BB
BL
EPAY
BOX
BLIN          
BVSN
CDNS
CANG
CBLK
CDLX
CDAY
CYOU
ECOM          
CHKP
CMCM
CNET
CISN
CTXS
CLDR
CLPS
CVLT
CSOD
CPAH
COUP
CRWD
CYBR
CYRN
DTSS
DOCU
DOMO
DBX
EGAN
ESTC
EA
EIGI
PLUS
EB
EVBG
EVER
FB
FDS
FSLY
FRSX
GDS
GIGM
GSB
GEC
GSUM
GVP
GWRE
HSTM
HUBS
HUYA
ICLK
INFO
INFO
INSE
INST
IDN
INS
INAP
INXN
INTU
JT
LN
LINX
YVR
LPSN
LOGM
MGIC
MJCO
MAMS
MANH
MTCH
MTLS
MDSO
MFGP
MSFT
MSTR
MIME
MIXT
MOBL
MODN
MOMO
MDB
MOXC
MTBC
MTBCP
MYSZ
NATI
NTWK
NEWR
NUAN
NTNX
OKTA
ORCL
PD
PAYC
PCTY
PDFS
PT
PINS
PVTL
PS
PSDO
IPDN
PRGS
PTC
QTWO
QADA
QADB
QLYS
QUMU
RPD
RP
RDVT
RST
SABR
SFET
SAIL
CRM
SAP
SPNS
SCSC
SCWX
NOW
SHSP
SHOP
SSTI
SIFY
SINA
SMAR
SMSI
SNAP
SWI
SPLK
SPSC
SQ
SSNC
SVMK
SWCH
SYMC
SYNC
SNX
SNPS
DATA
TTWO
TLND
TAOP
TECD
TENB
TDC
DSGX
RUBI
TSG
TTD
TRIP
TRUE
TWLO
TWTR
TYL
UBER
UPLD
VRNS
VEEV
VMW
WSTG
WB
WIX
WK
XNET
YNDX
ZDGE
ZM
ZUO
